Das sind die Freuden {{c1::maßloser}} Selbstüberschätzung.		
Obwohl das der am besten bezahlte Job auf dem Campus ist.		
Zwei Monate später langweilt mich das Speedreading bis zur Bewusstlosigkeit, und ich mache meinen Laden dicht.		
Dienstleistungen sind nicht mein Ding - was ich brauche, ist ein Produkt, das ich verschicken kann.		
Ich teile dem Prüfungsamt mit, dass ich die Universität bis auf weiteres verlasse.	bis auf weiteres = until further notice	
Ich glaube nicht, dass jemand anfängt, Langstrecken zu laufen, um diese Art von visionärem Bewusstsein zu erlangen. Für mich galt das jedenfalls ganz bestimmt nicht. Aber ich bin überzeugt, dass jeder, der regelmäßig Ultrastrecken läuft, früher oder später (reaches this point){{c1::an diesen Punkt gelangt}}.		
Die Strecke des Spartathlons ist (hilly){{c1::hügelig}}, aber nicht steil. Das bringt seine eigenen Schwierigkeiten mit sich.		
Die Strecke des Spartathlons ist hügelig, aber nicht steil. (That presents it's own set of difficulties){{c1::Das bringt seine eigenen Schwierigkeiten mit sich}}.		
Als ich die 80-Kilometer-Marke erreichte, durfte ich nicht daran denken, (that there was still 160 kiliometer ahead of me){{c1::dass noch 160 Kilometer vor mir lagen}}.		
(Before my mind's eye){{c1::Vor meinem geistigen Auge}} sah ich ein Leben, in dem ich trainierte, arbeitete, bei Wettkämpfen mitlief und dann Schecks über das ganze Geld ausstellte, das ich dabei verdiente, sodass mir nur noch genug für Miete und Essen blieb - wenn überhaupt.		
An diesem Abend, (as I imagined the lonely life on a farm){{c1::als ich mir das einsame Leben auf einer Farm ausmalte}}, wurde mir plötzlich schlagartig bewusst, wie wichtig mir Freundschaften waren.		
An diesem Abend, als ich mir das einsame Leben auf einer Farm ausmalte, (I suddenly became aware){{c1::wurde mir plötzlich schlagartig bewusst}}, wie wichtig mir Freundschaften waren.		
Wir weinten zusammen und fragten einander, (if Dave had ever let it show){{c1::ob Dave sich jemals habe anmerken lassen}}, wie schlecht es ihm ging.		
Für einen Ultraläufer, der tagtäglich viele Stunden allein verbringt und in (remote){{c1::entlegenen}}, menschenleeren Gegenden trainiert, kann sich das Laufen als einsame Angelegenheit erweisen.		
Für einen Ultraläufer, der tagtäglich viele Stunden allein verbringt und in entlegenen, (deserted){{c1::menschenleeren}} Gegenden trainiert, kann sich das Laufen als einsame Angelegenheit erweisen.		
Für einen Ultraläufer, der tagtäglich viele Stunden allein verbringt und in entlegenen, menschenleeren Gegenden trainiert, kann {{c1::sich}} das Laufen als einsame Angelegenheit erweisen.		
Für einen Ultraläufer, der tagtäglich viele Stunden allein verbringt und in entlegenen, menschenleeren Gegenden trainiert, kann sich das Laufen als einsame Angelegenheit (prove){{c1::erweisen}}.		
Für einen Ultraläufer, der tagtäglich viele Stunden allein verbringt und in entlegenen, menschenleeren Gegenden trainiert, (running can prove to be a lonely business){{c1::kann sich das Laufen als einsame Angelegenheit erweisen}}.		
Der Abstand zwischen uns (was){{c1::betrug}} nie mehr als 400 Meter.		
(The distance between us){{c1::Der Abstand zwischen uns}} betrug nie mehr als 400 Meter.		
(Life is not a race){{c1::Das Leben ist kein Wettlauf}}. Es ist auch kein Ultramarathon, obwohl es manchmal danach aussieht.		
Das Leben ist kein Wettlauf. Es ist auch kein Ultramarathon, obwohl (it sometimes looks like it){{c1::es manchmal danach aussieht}}.		
Ein Ultraläufer braucht sein Team, (to overcome difficult sections){{c1::um schwierige Abschnitte zu bezwingen}}, um ihm zu helfen, die glücklichen Momente zu finden und einfach weiterzumachen.		
Ein Ultraläufer braucht sein Team, um schwierige Abschnitte zu bezwingen, um ihm zu helfen, die glücklichen Momente zu finden (and to simply keep going){{c1::und einfach weiterzumachen}}.		
Nichts und niemand kann einen Tarahumara-Läufer auf einer Ultralangstrecke (beat){{c1::besiegen}} - kein Rennpferd, kein Gepard und auch kein olympischer Marathonläufer.		
Nichts und niemand kann einen Tarahumara-Läufer auf einer Ultralangstrecke besiegen - kein (racehorse){{c1::Rennpferd}}, kein Gepard und auch kein olympischer Marathonläufer.		
Nichts und niemand kann einen Tarahumara-Läufer auf einer Ultralangstrecke besiegen - kein Rennpferd, kein (leopard){{c1::Gepard}} und auch kein olympischer Marathonläufer.		
Ein anderer Abenteurer brauchte für die Überquerung eines Berges in den Copper Canyons auf dem Rücken eines Maultiers zehn Stunden; ein Tarahumara-Läufer (covered the same stretch of road in 90 minutes){{c1::legte dieselbe Wegstrecke in 90 Minuten zurück}}.		
Mit Sicherheit (he had adopted two skills of the Tarahumara){{c1::hat er sich zwei Fertigkeiten der Tarahumara angeeignet}} - Unsichtbarkeit und außergewöhnliche Ausdauer -, denn er wurde zwar schon an vielen Orten in den Canyons gesehen, aber niemand schien zu wissen, wo er lebte oder als nächstes auftauchen würde.		
Mit Sicherheit hat er sich zwei Fertigkeiten der Tarahumara angeeignet - (invisibility){{c1::Unsichtbarkeit}} und außergewöhnliche Ausdauer -, denn er wurde zwar schon an vielen Orten in den Canyons gesehen, aber niemand schien zu wissen, wo er lebte oder als nächstes auftauchen würde.		
Mit Sicherheit hat er sich zwei Fertigkeiten der Tarahumara angeeignet - Unsichtbarkeit und (extraordinary endurance){{c1::außergewöhnliche Ausdauer}} -, denn er wurde zwar schon an vielen Orten in den Canyons gesehen, aber niemand schien zu wissen, wo er lebte oder als nächstes auftauchen würde.		
Mit Sicherheit hat er sich zwei Fertigkeiten der Tarahumara angeeignet - Unsichtbarkeit und außergewöhnliche Ausdauer -, denn er wurde zwar schon an vielen Orten in den Canyons gesehen, aber niemand schien zu wissen, wo er lebte (or where he would turn up next){{c1::oder als nächstes auftauchen würde}}.		
(The whole thing was a scam){{c1::Die ganze Sache war ein Schwindel}}, und ich war darauf reingefallen.		
Die ganze Sache war ein Schwindel, (and I had fallen for it){{c1::und ich war darauf reingefallen}}.		
Die ganze Sache war ein Schwindel, und ich war {{c1::darauf}} reingefallen.		
Die ganze Sache war ein Schwindel, und ich war darauf {{c1::reingefallen}}.		
Ein talentierter junger Läufer sollte sterben. Zwei andere sollten (just get away with their lives){{c1::nur knapp mit dem Leben davonkommen}}.		
Ein talentierter junger Läufer sollte sterben. Zwei andere sollten {{c1::nur}} knapp mit dem Leben davonkommen.		
Ein talentierter junger Läufer sollte sterben. Zwei andere sollten nur {{c1::knapp}} mit dem Leben davonkommen.		
Ein talentierter junger Läufer sollte sterben. Zwei andere sollten nur knapp {{c1::mit}} dem Leben davonkommen.		
Ein talentierter junger Läufer sollte sterben. Zwei andere sollten nur knapp mit {{c1::dem}} Leben davonkommen.		
Ein talentierter junger Läufer sollte sterben. Zwei andere sollten nur knapp mit dem {{c1::Leben}} davonkommen.		
Ein talentierter junger Läufer sollte sterben. Zwei andere sollten nur knapp mit dem Leben {{c1::davonkommen}}.		
(I kept researching){{c1::Ich forschte weiter nach}} und stieß auf den Barfüßigen Batman …		
Ich forschte weiter nach und (came across the barefoot batman){{c1::stieß auf den Barfüßigen Batman}} …		
Heute kann man Laufschuhe kaufen, in deren Sohlen Stahlfedern eingearbeitet sind, (one particular product){{c1::ein bestimmtes Fabrikat}} regelt die Dämpfung sogar per Mikrochip, aber die Verletzungsquote hat in 30 Jahren kein bisschen abgenommen.		
Heute kann man Laufschuhe kaufen, in deren Sohlen Stahlfedern eingearbeitet sind, ein bestimmtes Fabrikat (regulates){{c1::regelt}} die Dämpfung sogar per Mikrochip, aber die Verletzungsquote hat in 30 Jahren kein bisschen abgenommen.		
Heute kann man Laufschuhe kaufen, in deren Sohlen Stahlfedern eingearbeitet sind, ein bestimmtes Fabrikat regelt die Dämpfung sogar (by microchip){{c1::per Mikrochip}}, aber die Verletzungsquote hat in 30 Jahren kein bisschen abgenommen.		
Heute kann man Laufschuhe kaufen, in deren Sohlen Stahlfedern eingearbeitet sind, ein bestimmtes Fabrikat regelt die Dämpfung sogar per Mikrochip, aber die (injury rate){{c1::Verletzungsquote}} hat in 30 Jahren kein bisschen abgenommen.		
Heute kann man Laufschuhe kaufen, in deren Sohlen Stahlfedern eingearbeitet sind, ein bestimmtes Fabrikat regelt die Dämpfung sogar per Mikrochip, aber die Verletzungsquote (hasn't went down one bit in 30 years){{c1::hat in 30 Jahren kein bisschen abgenommen}}.		
Heute kann man Laufschuhe kaufen, (in which){{c1::in deren}} Sohlen Stahlfedern eingearbeitet sind, ein bestimmtes Fabrikat regelt die Dämpfung sogar per Mikrochip, aber die Verletzungsquote hat in 30 Jahren kein bisschen abgenommen.		
Heute kann man Laufschuhe kaufen, in deren Sohlen Stahlfedern (built in){{c1::eingearbeitet}} sind, ein bestimmtes Fabrikat regelt die Dämpfung sogar per Mikrochip, aber die Verletzungsquote hat in 30 Jahren kein bisschen abgenommen.		
(With every step){{c1::Mit jedem Schritt}} wird eines der Beine einer Kraft ausgesetzt, die dem doppelten Körpergewicht entspricht.		
"Mit jedem Schritt (one of the legs is exposed to a force){{c1::wird eines der Beine einer Kraft ausgesetzt}}, die dem doppelten Körpergewicht entspricht.		
"Mit jedem Schritt wird eines der Beine einer Kraft ausgesetzt, (which corresponds to that of double the bodyweight){{c1::die dem doppelten Körpergewicht entspricht}}.		
Mit jedem Schritt (one of the legs is exposed to a force which is corresponds to that of double the bodyweight){{c1::wird eines der Beine einer Kraft ausgesetzt, die dem doppelten Körpergewicht entspricht}}.		
(He shrugged){{c1::Er zuckte mit den Schultern}}.		
(I thanked him){{c1::Ich dankte ihm}}, versprach, seinen Rat zu befolgen, und hinterging ihn umgehend, indem ich einen anderen Arzt aufsuchte.		
Ich dankte ihm, (promised to follow his advice){{c1::versprach, seinen Rat zu befolgen}}, und hinterging ihn umgehend, indem ich einen anderen Arzt aufsuchte.		
Ich dankte ihm, versprach, seinen Rat zu befolgen, und hinterging ihn umgehend, indem ich einen anderen Arzt (found another doctor){{c1::aufsuchte}}.		
Wir laufen, (when we are afraid){{c1::wenn wir Angst haben}}, wir laufen, wenn wir höchste Glücksgefühle empfinden, wir laufen vor unseren Problemen davon und wir laufen, um uns zu vergnügen.		
Wir laufen, wenn wir Angst haben, wir laufen, wenn wir höchste Glücksgefühle empfinden, (we run away from our problems){{c1::wir laufen vor unseren Problemen davon}} und wir laufen, um uns zu vergnügen.		
Wir laufen, wenn wir Angst haben, wir laufen, wenn wir höchste Glücksgefühle empfinden, wir laufen vor unseren Problemen davon und (we run to enjoy ourselves){{c1::wir laufen, um uns zu vergnügen}}.		
Vielleicht gibt es aber auch (a trigger){{c1::einen Auslöser}} in der menschlichen Psyche, eine einkodierte Reaktion, die unsere erste und bedeutendste Überlebensfähigkeit aktiviert, sobald wir spüren, dass die Raubtiere sich nähern.		
Vielleicht gibt es aber auch einen Auslöser (in the human psyche){{c1::in der menschlichen Psyche}}, eine einkodierte Reaktion, die unsere erste und bedeutendste Überlebensfähigkeit aktiviert, sobald wir spüren, dass die Raubtiere sich nähern.		
Vielleicht gibt es aber auch einen Auslöser in der menschlichen Psyche, (a encoded reaction){{c1::eine einkodierte Reaktion}}, die unsere erste und bedeutendste Überlebensfähigkeit aktiviert, sobald wir spüren, dass die Raubtiere sich nähern.		
Vielleicht gibt es aber auch einen Auslöser in der menschlichen Psyche, eine einkodierte Reaktion, die unsere erste und bedeutendste Überlebensfähigkeit aktiviert, sobald wir (sense){{c1::spüren}}, dass die Raubtiere sich nähern.		
Vielleicht gibt es aber auch einen Auslöser in der menschlichen Psyche, eine einkodierte Reaktion, die unsere erste und bedeutendste Überlebensfähigkeit aktiviert, sobald wir spüren, (that the predators are getting nearer){{c1::dass die Raubtiere sich nähern}}.		
Dr. Davis stellte dann - als ob (the first sight){{c1::der erste Anblick}} nicht schon schlimm genug gewesen wäre - auf Zeitlupe um.		
Dr. Davis stellte dann - (as if the first sight wasn't already bad enough){{c1::als ob der erste Anblick nicht schon schlimm genug gewesen wäre}} - auf Zeitlupe um.		
Ich glaube nicht, dass (year after year){{c1::Jahr für Jahr}} 80 Prozent aller Wildpferde durch die mit dem Laufen verbundenen Belastungen außer Gefecht gesetzt werden.		
Ich glaube nicht, dass Jahr für Jahr 80 Prozent aller Wildpferde durch die mit dem Laufen verbundenen Belastungen (are put out of action){{c1::außer Gefecht gesetzt werden}}.		
In dieser Situation (I remembered a saying){{c1::erinnerte ich mich an einen Ausspruch}}, der dem britischen Mittelstreckler Roger Bannister zugeschrieben wurde.		
In dieser Situation erinnerte ich mich an einen Ausspruch, (which is attributed to the british middle distance runner Roger Bannister){{c1::der dem britischen Mittelstreckler Roger Bannister zugeschrieben wurde}}.		
In dieser Situation erinnerte ich mich an einen Ausspruch, der (to the){{c1::dem}} britischen Mittelstreckler Roger Bannister zugeschrieben wurde.		
In dieser Situation erinnerte ich mich an einen Ausspruch, der dem britischen Mittelstreckler Roger Bannister (attributed){{c1::zugeschrieben}} wurde.		
Aber (shortly after){{c1::bald darauf}} sollte ich feststellen: Die einzigen Menschen, die sie beantworten konnten - die einzigen, die die Antworten lebten -, redeten nicht darüber. Vor allem nicht mit jemandem wie mir.		
Aber bald darauf sollte ich feststellen: Die einzigen Menschen, die sie beantworten konnten - die einzigen, die die Antworten lebten -, redeten nicht darüber. (Particularly nicht with someone like me){{c1::Vor allem nicht mit jemandem wie mir}}.		
Ein Forscher verstieg sich sogar zu der Spekulation, dass die Gehirne der Tarahumara nach so vielen Generationen der Wahrheitsliebe biochemisch gar nicht mehr in der Lage seien, (to think up lies){{c1::sich Lügen auszudenken}}.		
(And as if it wasn't enough){{c1::Und als ob es nicht genügte}}, das freundlichste, glücklichste Volk auf Erden zu sein: Die Tarahumara waren auch zäher als alle anderen Menschen.		
Und als ob es nicht genügte, das freundlichste, glücklichste Volk (on earth){{c1::auf Erden}} zu sein: Die Tarahumara waren auch zäher als alle anderen Menschen.		
Und als ob es nicht genügte, das freundlichste, glücklichste Volk auf Erden zu sein: Die Tarahumara waren auch zäher (than any other people){{c1::als alle anderen Menschen}}.		
Sie trinken, als wäre Silvester ein wöchentlich wiederkehrendes Ereignis, und {{c1::schütten}} dabei, aufs ganze Jahr gesehen, so viel Maisbier in sich hinein, dass sie jeden dritten Tag ihres Erwachsenenlebens entweder betrunken oder verkatert verbringen.		
Sie trinken, als wäre Silvester ein wöchentlich wiederkehrendes Ereignis, und schütten dabei, aufs ganze Jahr gesehen, so viel Maisbier {{c1::in}} sich hinein, dass sie jeden dritten Tag ihres Erwachsenenlebens entweder betrunken oder verkatert verbringen.		
Sie trinken, als wäre Silvester ein wöchentlich wiederkehrendes Ereignis, und schütten dabei, aufs ganze Jahr gesehen, so viel Maisbier in {{c1::sich}} hinein, dass sie jeden dritten Tag ihres Erwachsenenlebens entweder betrunken oder verkatert verbringen.		
Sie trinken, als wäre Silvester ein wöchentlich wiederkehrendes Ereignis, und schütten dabei, aufs ganze Jahr gesehen, so viel Maisbier in sich {{c1::hinein}}, dass sie jeden dritten Tag ihres Erwachsenenlebens entweder betrunken oder verkatert verbringen.		
Sie trinken, als wäre Silvester ein wöchentlich wiederkehrendes Ereignis, und schütten dabei, aufs ganze Jahr gesehen, so viel Maisbier in sich hinein, dass sie (every third day){{c1::jeden dritten Tag}} ihres Erwachsenenlebens entweder betrunken oder verkatert verbringen.		
Sie trinken, als wäre Silvester ein wöchentlich wiederkehrendes Ereignis, und schütten dabei, aufs ganze Jahr gesehen, so viel Maisbier in sich hinein, dass sie jeden dritten Tag (of their adult life){{c1::ihres Erwachsenenlebens}} entweder betrunken oder verkatert verbringen.		
Ihre Beine sind einfach (more resistant){{c1::widerstandsfähiger}}, weil sie ihr ganzes Leben lang gerannt sind, dachte ich, bevor mir aufging, dass das ein Trugschluss war.		
Ihre Beine sind einfach widerstandsfähiger, weil sie ihr ganzes Leben lang gerannt sind, dachte ich, (beofre I realised){{c1::bevor mir aufging}}, dass das ein Trugschluss war.		
Ihre Beine sind einfach widerstandsfähiger, weil sie ihr ganzes Leben lang gerannt sind, dachte ich, bevor mir aufging, dass das ein (fallacy){{c1::Trugschluss}} war.		
